Date,Channel,Pay period,Customer group,Campaign,Clicks,Impressions,Signups,FTD Count,FTD Amount,Deposits,Withdrawals,NGR,Income
2026-03-06,BetWarrior Brazil,2026-03-01,0,Uol - 728x90 - Basquete,196,0,0,0,0,0,0,0,0.00
2026-03-06,BetWarrior Brazil,2026-03-01,0,Uol - 300x250 - Basquete,174,0,0,0,0,0,0,0,0.00
2026-03-06,BetWarrior Brazil,2026-03-01,0,Uol - 300x100 - Futebol,565,0,0,0,0,0,0,0,0.00
2026-03-06,BetWarrior Brazil,2026-03-01,0,Uol - 300x250 - Futebol,69,0,0,0,0,0,0,0,0.00
2026-03-06,BetWarrior Brazil,2026-03-01,0,Uol - 320x100 - Tênis,378,0,0,0,0,0,0,0,0.00
2026-03-06,BetWarrior Brazil,2026-03-01,0,Uol - 970x90 - Tênis,2,0,0,0,0,0,0,0,0.00
2026-03-06,BetWarrior Brazil,2026-03-01,0,Uol - 300x250 - Tênis,128,0,0,0,0,0,0,0,0.00
2026-03-06,BetWarrior Brazil,2026-03-01,0,Uol - 16x9 - Institucional,712,0,0,0,0,0,0,0,0.00
2026-03-06,BetWarrior Brazil,2026-03-01,0,Uol - diária mobile - diária mobile,8,0,0,0,0,0,0,0,0.00
2026-03-06,BetWarrior Brazil,2026-03-01,0,Siprocal - Push Notification - Institucional,1,0,0,0,0,0,0,0,0.00
2026-03-07,BetWarrior Brazil,2026-03-01,0,Uol - 728x90 - Basquete,3,0,0,0,0,0,0,0,0.00
2026-03-07,BetWarrior Brazil,2026-03-01,0,Uol - 300x250 - Basquete,2,0,0,0,0,0,0,0,0.00
2026-03-07,BetWarrior Brazil,2026-03-01,0,Uol - 300x100 - Futebol,81,0,0,0,0,0,0,0,0.00
2026-03-07,BetWarrior Brazil,2026-03-01,0,Uol - 300x250 - Futebol,1,0,0,0,0,0,0,0,0.00
2026-03-07,BetWarrior Brazil,2026-03-01,0,Uol - 320x100 - Tênis,46,0,0,0,0,0,0,0,0.00
